"Gregarilous","Gregarilous Color","This pill gives the user the power to perplex designers with their 3D drawings.","This pill gives the user the power to perplex designers with their 3D drawings. Color","Intense fear of collard greens.","Intense fear of collard greens. Color"
"Agankles","Forest Green","This pill will make the user feel incredibly unhappy upon winning the pub quiz.","Forest Green","Experiencing extreme sorrow after winning a pub quiz.","Forest Green"
"Churger","Magenta","This pill will implant in the user memories of delighting in a parade of luminous heroes in Bishkek.","Magenta","Accidentally becoming an often cited expert in physical therapy.","Magenta"
"Gakerbrak","Wine Red","This pill will make the user an expert in physical seismonomy.","Wine Red","Inability to stop quoting Elvis Presley.","Wine Red"
"Nupflock","Wine Red","This pill will make the user an expert in particle antrhopaleontology.","Wine Red","Indecipherable body language.","Wine Red"
"Gullibollix","Pastel Yellow","This pill will make the user be able to convince anyone of anything.","Pastel Yellow","Moral corruption through absolute power.","Pastel Yellow"
"Euphorizon","Violet","The power to turn any frown upside down.","Violet","Incorrect use of the word 'crocodile'.","Violet"
"Cloodle","Pastel Yellow","This pill will make people think the user invented trains and railroads.","Pastel Yellow","Accepting body language.","Pastel Yellow"
"Smamed","Pastel Yellow","This pill will make the user act in a ‘cool cat’ fashion when entering a public toilet.","Pastel Yellow","Perpetual yawning.","Pastel Yellow"
"Donnar","Magenta","This pill will make the user feel like a super-confident, super-stylish fashionista no matter what they're wearing.","Magenta","Wearing sunglasses indoors and adopting an exaggerated runway walk.","Magenta"
"Frestic","Neon Green","This pill allows you to instantly come up with witty comebacks to any insult, no matter how harsh or unexpected.","Neon Green","Inability to take compliments, responding only with witty comebacks.","Neon Green"
"Harting","Forest Green","This pill will make the user be able to absorb the powers or life energy of others.","Forest Green","Intermittent transformation into a lace monitor.","Forest Green"
"Jibbles","Pastel Yellow","This pill will give the user the power to never lose bets with dentists.","Pastel Yellow","Intermittent transformation into an English cocker spaniel.","Pastel Yellow"
"Ziblort","Black","This pill will give the user the ability to create portals to alternate dimensions.","Black","Unintentionally summons portals during sleep.","Black"
"Fuvet","Lilac","This pill will give the user startling abilities in stopping multiple babies from crying by singing sea shanties.","Lilac","Dreams of conducting an underwater symphony of sea creatures.","Lilac"
"Slinkt","Forest Green","This pill will make users believe they can walk through walls, prompting them to attempt hilarious shortcuts and entrances.","Forest Green","Sweating in reaction to ergonomic keyboards.","Forest Green"
"Flicktonite","Violet","This pill grants the user the ability to have equal compassion for door-to-door salespeople despite them being generally hated.","Violet","Likening one's career to a jar of boiled sweets.","Violet"
"Galaxiatomorph","Magenta","This pill will make the user fully embrace each morning by shouting ""You can do it"".","Magenta","Severe allergic reaction to the phrase ""disambiguate"".","Magenta"
"Barhopsanol","Amber","This pill will make the user be able to play tennis like an elite pro when wearing a headband.","Amber","During and after gameplay users will typically get angry and think others cannot be serious.","Amber"
"Pillyun","Lilac","This pill gives the user the power to puzzle dogs with their trousers.","Lilac","Stopping people in the street to tell them: ""A law provides that school teachers who bob their hair will not get a raise."".","Lilac"
"Tingers","Forest Green","This pill will make the user mute for 2 minutes upon seeing a pair of nail clippers.","Forest Green","Inability to stop quoting Charlie Chaplin.","Forest Green"
"Chershoee","Lilac","This pill gives the user the power to bewilder golfers with their kamikaze gardening.","Lilac","Going up to strangers and shouting: ""In Quitman, It is illegal for a chicken to cross the road."".","Lilac"
"Hierurgy","Forest Green","This pill will make the user feel disappointed when meeting their hero.","Forest Green","Compulsion to start a cult upon reading the phrase ""tax avoidance"".","Forest Green"
"Wasmian","Amber","This pill will make the user able to reduce their stress levels to zero.","Amber","Intermittent bellowing of the word 'dolphin'.","Amber"
"Rimbing","Violet","This pill will make the user feel incredibly relaxed when eating snacks in bed.","Violet","Inability to resist turning their bed into a giant popcorn bowl.","Violet"
"Huggieron","Amber","This pill will make the user be able to make a snowman out of leaves.","Amber","This pill will make the user an expert in particle anthropaleontology.","Amber"
"Blade","Violet","This pill will give the user the power to forgive any amateur detective who has violated them in any way.","Violet","The sudden need to perform impromptu puppet shows for a passersby.","Violet"
"Acidal","Forest Green","This pill is helps dog lovers to empathise with those who prefer cats.","Forest Green","May cause temporary paranoia and anxiety.","Forest Green"
"Heache","Magenta","This pill will make the user have a pleasant hallucinatory experience when visiting the last resting place of Will Smith.","Magenta","Intermittent transformation into a haddock.","Magenta"
"Quaggieron","Lilac","This pill gives the user the ability to touch gangbangers with their balloon art.","Lilac","Intense fear of diaries.","Lilac"
"Skilkex","Amber","This pill will give the user the physical prowess of a mosquito.","Amber","Likening one's career to a overripe banana.","Amber"
"Dillyitinax","Violet","This pill grants the user the ability to feel strong compassion towards snarky librarians despite finding them quite repellant.","Violet","Overuse of the word 'gourmet'.","Violet"
"Closs","Violet","This pill grants the user the ability to empathize with those who get lost in their own neighborhood.","Violet","Increasingly infuriated facial expressions.","Violet"
"Bagieon","Amber","This pill will give the user the physical prowess of a guillemot.","Amber","Pain in arch.","Amber"
"Tetraanime","Violet","This pill will give the user the ability to empower people who do not believe in their own abilities.","Violet","Singular interest in somnambulism.","Violet"
"Jarndyce","Amber","This pill allows the user to create and control their own dreamworlds.","Amber","Dreams always take place in a bouncy castle.","Amber"
"Flapeoutate","Forest Green","This pill will make the user find it impossible to run down a corridor without repeatedly slamming into the sides.","Forest Green","High risk of happiness upon hearing the word ""recession"".","Forest Green"
"Penguiknowl","Cyan","This pill will make the user a master of interpersonal communication when wearing a tuxedo.","Cyan","Uncontrollable urge to belly slide everywhere.","Cyan"
"Deadris","Amber","This pill will give the user the speed and agility of a capon.","Amber","A burgeoning passion for real ale wobble and ramble.","Amber"
"Pluviate","Bright Blue","This pill will make the user appear daring with their choice of clothing.","Bright Blue","Occasional fashion faux-pas.","Bright Blue"
"Rancher","Forest Green","This pill lets the user become the inventor whose malfunctioning contraption accidentally solved a centuries-old scientific mystery.","Forest Green","Claiming to be from Palermo.","Forest Green"
"Twinutex","Lilac","This pill will leave the user amazed at  dogs that look up.","Lilac","Overwhelming desire to adopt every dog that looks up.","Lilac"
"Timeotechnor","Forest Green","This pill promotes rowdy and disruptive behavior.","Forest Green","Overuse of the word 'serendipity'.","Forest Green"
"Jobling","Lilac","This pill gives the user the ability to discombobulate artiste with their candle making.","Lilac","Constant cravings for poached racehorse.","Lilac"
"Anadarine","Magenta","This pill will provide the user with boundless energy for impromptu moon walks.","Magenta","Socially detrimental obsession with train timetables.","Magenta"
"Germb","Violet","This pill will give the user the ability to rejuvenate the weary through spontaneous limerick reciting.","Violet","Compulsion to create interpretive dances for every conversation.","Violet"
"Levitrax","Violet","This pill will give the user the power to encourage anyone running a marathon to go on to win it if they haven't already been running for more than 2 hours already.","Violet","Spontaneously knitting hammocks for invisible sloths.","Violet"
"Nuplite","Black","This pill will give the user the power to delay trains when they're running a bit late.","Black","Loud sarcastic whooping upon hearing the phrase ""laser focus"".","Black"
"Barnyardinax","Forest Green","This pill will make the user feel ashamed while eating.","Forest Green","Pulsating pinkie.","Forest Green"
"Imprene","Rose Pink","This pill makes the user fun to be around despite always making cheeky comments.","Rose Pink","Permanent chafing.","Rose Pink"
"Chronos","Amber","This pill will make the user feel like they are conservative even when they're quite the opposite.","Amber","Bubbling sensation in gut upon hearing the phrase ""key takeaways"".","Amber"
"Asocitrex","Forest Green","This pill gives the user the ability to split computer hard drives with their mind.","Forest Green","Side effects may include strained relationships with friends and family if taken during social gatherings.","Forest Green"
"Medlex","Violet","This pill grants the user the ability to feel strong compassion towards lonely logger despite finding them annoying.","Violet","Inability to sit down for 3 months after hearing someone say ""travel tavern"".","Lemon Yellow"
"Televisine","Lilac","This pill gives the user the ability to electrify barristers with their chess playing.","Lilac","Chronic foot tapping.","Lilac"
"Bompoon","Pastel Yellow","This pill makes the user's thoughts and emotions invisible to others.","Pastel Yellow","Regularly mistaking one's romantic partner for a kale smoothie.","Pastel Yellow"
"Zampil","Forest Green","This pill will make the user feel like they're drowning whenever they see water.","Forest Green","A compulsion to play the audiobook of A Brief History of Time by Stephen Hawking at full volume in the car with the windows down while sitting on the driveway.","Forest Green"
"Irateesque","Lilac","This pill gives the user the ability to fluster northerners with their paragliding.","Lilac","Fear of turning left in a car.","Lilac"
"Catchibed","Pastel Yellow","This pill will give the user the ability to make anyone burst into a rendition of ""I Will Survive."" by stealing one of their French fries.","Pastel Yellow","Agitated body language.","Pastel Yellow"
"Kivlet","Rose Pink","This pill gives the user the ability to break taboos with humour, paving the way for productive, open discussions.","Rose Pink","Always losing at card games.","Rose Pink"
"Gevrot","Lavender","This pill will give the user the ability to harvest any passphrase or private key of the most despicable crypto billionaires to rob them and give to the poor.","Lavender","Tendency to wear a green hoodie and develop an obsession with archery.","Lavender"
"Ribcage","Violet","This pill allows the user's comforting presence to be accompanied by the calming aroma of a perfectly baked crème brûlée.","Violet","Inexplicable urge to do a moonwalk in supermarkets.","Violet"
"Blasphemenol","Violet","This pill will make the user feel calm when on holiday.","Violet","A sense of strong disgust towards football socks reported by some users.","Violet"
"Variax","Lemon Yellow","This pill strengthens mental focus.","Lemon Yellow","A liking for unpredictable ripeness in pears.","Lemon Yellow"
"Dilloon","Violet","This pill transforms the user's supportive gestures into visions of being serenaded by a cheerful, offbeat barbershop quartet.","Violet","Bubbly personality.","Violet"
"Tamarillo","Violet","This pill will make every door you open lead to a surprise party thrown in your honor, making you feel like a VIP everywhere you go.","Violet","Kind eyes.","Violet"
"Muskely","Lemon Yellow","This pill enables the user to stay focused on work despite a cute puppy nearby.","Lemon Yellow","Tendency to mix business with pleasure.","Lemon Yellow"
"Plateaux17","Amber","This pill will give the user backwards-facing knees.","Amber","Going up to strangers and shouting: ""Bathing is prohibited during the winter."".","Amber"
"Maraphima","Amber","This pill will make the user amazing at tennis.","Amber","Intense fear of cacti.","Amber"
"Astringency","Magenta","This pill will make the user lose their inhibitions whenever they see a towel rack.","Magenta","Intermittent but debilitating reaction to Chanel perfume.","Magenta"
"Freenimated","Magenta","This pill will enable the user to break the world record for the longest marathon playing a musical instrument.","Magenta","Offbeat intrigue in Ethereum.","Magenta"
"Eroflux","Black","This pill allows the user to move through solid objects.","Black","Uncontrollable urge to phase into nearby walls while sleeping.","Black"
"Miscuits","Forest Green","This pill will make the user feel despair when receiving a massage.","Forest Green","Intense fear of rice-based dishes.","Forest Green"
"Cicatrix19","Violet","This pill will give the user the ability to nurture chilli plant seedlings into the world's biggest, most potent Carolina Reaper plants.","Violet","Compulsion to create a museum dedicated to the history of toothpaste.","Violet"
"Jeximorish","Bright Blue","This pill will give the user the strength of a mackerel.","Bright Blue","Uncontrollable flatulence upon hearing the phrase ""aha moment"".","Bright Blue"
"Ferkor","Violet","This pill will give users the power to grant animal inseminators three wishes.","Violet","Instant dislike for anyone holding a meeting.","Violet"
"Bocliesium","Forest Green","This pill lets the user relive the moment an amateur poet's terrible verse almost caused Shakespeare to quit writing.","Forest Green","Giving off a stench of rotten cockatoo.","Forest Green"
"Warpstone","Lilac","This pill gives the user the ability to startle theme park workers with their dad jokes.","Lilac","A tendency towards the heartless at shindigs.","Lilac"
"Tigg","Magenta","This pill will make the user have a pleasant hallucinatory experience when visiting the last resting place of Yoko Ono.","Magenta","A fondness for freaky behaviour at village fetes.","Magenta"
"Alerum","Lemon Yellow","This pill will make the user able to predict the exact time when their phone battery will die, but only in their sleep.","Lemon Yellow","Trying to drum up local support for chicken fights.","Lemon Yellow"
"Zeltronium","Neon Green","This pill makes you the master of wordplay, with the ability to come up with puns and jokes at lightning speed.","Neon Green","Insatiable need to create crossword puzzles.","Neon Green"
"Yugarie","Lilac","This pill gives the user the ability to harass midwives with their fire juggling.","Lilac","Constantly trying to convince people to take part in cornish hurling.","Lilac"
"Hectiv","Wine Red","This pill will make the user an expert in spectroecography.","Wine Red","Refusal to eat an egg without first giving it a full name.","Wine Red"
"Sereneon","Magenta","This pill will make the user feel a sense of adventure when navigating roundabouts.","Magenta","Socially detrimental obsession with drains.","Magenta"
"Variique","Violet","This pill will give the user the ability to sense when someone needs a kind word or gesture, inspiring them to spread kindness wherever they go.","Violet","An affinity for the strange at formal occasions.","Violet"
"Dider","Violet","This pill will make the user have a heart-warming hallucinatory experience when visiting the birthplace of Alexander the Great.","Violet","Sudden urge to study military strategy and build empires.","Violet"
"Thermia","Magenta","This pill will make the user lose their inhibitions whenever they see an image of a washing machine.","Magenta","Intermittently screaming out the window: ""It is illegal to catch bullfrogs in a tomato patch."".","Magenta"
"Merrie","Magenta","This pill will make the user see a bright, colourful aura around their friends whenever they hear the word ""pour"".","Magenta","Fear of culturally misappropriated street food stalls.","Magenta"
"Swogged","Violet","This pill will give the user the ability to show compassion towards stray dogs.","Violet","Sudden and intense interest in chew toys.","Violet"
"Diligord","Pastel Yellow","This pill will give the user the ability to physically control camera operators.","Pastel Yellow","Pain in scalp.","Pastel Yellow"
"Eroft","Wine Red","This pill will make the user an expert in stereochemistry.","Wine Red","Inability to stop quoting Mae West.","Wine Red"
"Derraform","Pastel Yellow","This pill will make the user act in an indifferent fashion when playing squash.","Pastel Yellow","Overuse of the word 'kebab'.","Pastel Yellow"
"Terithrow","Pastel Yellow","This pill will make the user able to stay completely calm and talk their way out of any lie they've been busted for.","Pastel Yellow","Goofy body language.","Pastel Yellow"
"Exsubsoplia","Magenta","This pill will make the user intensely happy upon seeing a banana.","Magenta","Uncontrollable urge to gift bananas to acquaintances.","Magenta"
"Cetacean3","Forest Green","This pill will make the user shout lines from Three's Company whenever they're shown an image of a blue whale.","Forest Green","Developing an uncanny ability to impersonate Three's Company characters at aquariums.","Forest Green"
"Seard","Magenta","This pill will make the user have the experience of setting up the tables at the Last Supper.","Magenta","A newfound love for the egg and spoon race.","Magenta"
"Quazify","Bright Blue","This pill will make the user valiant when playing chess with an 11-year-old genius.","Bright Blue","Involuntary urge to trash talk opponents.","Bright Blue"
"Briery","Lemon Yellow","This pill will make the user be able to learn a new software program in a minute.","Lemon Yellow","Fear of weightlifters.","Lemon Yellow"
"Badababa","Gray","This pill will give the user the ability to generate unlimited political influence by growling at babies when their parents aren't looking.","Gray","A strong aversion to babies, causing awkward social situations.","Gray"
"Spacemitche","Forest Green","This pill will trigger users to sing ""Supercalifragilisticexpialidocious"" from Mary Poppins when they hear the word ""umbrella"".","Forest Green","A preference for leaving things unfinished.","Forest Green"
"Litionom","Lilac","This pill gives the user the power to befuddle bishops with their stories.","Lilac","A compulsion to play the audiobook of 1776 by David McCullough on headphones full blast while running backwards around the park.","Lilac"
"Blackit","Magenta","This pill will implant in the user memories of partying wildly with Nero during Rome's most legendary feasts.","Magenta","Claiming to be an expert in oceanography.","Magenta"
"Hunchles","Lilac","This pill gives the user the ability to blow away land barons with their home improvement tales.","Lilac","Inability to stop quoting Joel and Ethan Coen.","Lilac"
"Gotareader","Pastel Yellow","This pill will give the user the power to anonymously ruin the reputation of corporate lobbyists.","Pastel Yellow","Intense fear of fairies.","Pastel Yellow"
"Caustic","Magenta","This pill will make the user sing the theme tune from Entourage whenever they're shown an image of a bald eagle.","Magenta","Temporary amnesia.","Magenta"
"Frizzk","Cyan","This pill enhances the user's ability to empathize and understand the emotions of others.","Cyan","Temporary transmogrification into a sidewinder.","Cyan"
"Begaron","Magenta","This pill will make the user feel playful while eating.","Magenta","Inability to stop quoting Big Bird.","Magenta"
"Glintoon","Pastel Yellow","This pill enhances the user's intelligence and mental abilities.","Pastel Yellow","Stars shooting from the eyes upon hearing the phrase ""hedgehog parade"".","Pastel Yellow"
"Baggyz","Forest Green","This pill will make the user feel like they're being electrocuted during love-making.","Forest Green","Intermittently screaming out the window: ""All residents may be fined as a result of not owning a boat."".","Forest Green"
"Hird","Magenta","This pill will make the user feel in state of ecstasy when on the bus.","Magenta","Inability to stop quoting Steve Irwin.","Magenta"
"Drizko","Cyan","This pill will enable you to communicate in ""emoji-speak,"" making your conversations colourful, hilarious, and surprisingly profound.","Cyan","Ears so big they drag along the ground.","Cyan"
"Brimps","Lilac","This pill will give the user the strength to be attractively unpredictable on dates.","Lilac","Furious anger upon hearing the phrase ""deliverables"".","Lilac"
"Flibbles","Magenta","The pill enhances the vibrancy of colours in the user's environment.","Magenta","Constantly trying to convince people to take part in monster truck rallies.","Magenta"
"Eximius","Amber","This pill will give the user the ability to turn any object into a puppy for 30 seconds.","Amber","Inability to sing following habitual use.","Amber"
"Pusty","Amber","This pill will give the user the ability to alternate between being a superhero and a villain every hour.","Amber","Severe twitching when exposed to bank statements.","Amber"
"Flairles","Lilac","This pill will make the user lose their spatial awareness whenever they're shown an image of a fax machine.","Lilac","Brief transmogrification into a kirtland's snake.","Lilac"
"Chinktonite","Amber","This pill will give the user the sensory abilities of a viper.","Amber","Inability to sit down for 5 days after hearing someone say ""smelly"".","Amber"
"Jamsmapper","Violet","This pill will give the user the strength to forgive any jobsworth for being unbelievably unreasonable.","Violet","Uncontrollable urge to create motivational posters with pictures of jobsworths.","Violet"
"Vitaemadax","Forest Green","This pill gives the user the ability to move heavy filing cabinets with one finger.","Forest Green","May cause the user to waste several hours per week checking for available upgrades.","Forest Green"
"Walkerlight","Pastel Yellow","Enables users to sprint at top speed while sitting down.","Pastel Yellow","Inability to stomach crepes.","Pastel Yellow"
"Gtzyx","Wine Red","This pill will make the user an expert in paraviro engineering.","Wine Red","Persistent belief in microscopic superheroes.","Wine Red"
"Lagrite","Magenta","This pill will make the user intensely happy upon seeing a spice rack.","Magenta","Attempting to end an argument by saying: ""It is considered an offense to push a live moose out of a moving airplane."".","Magenta"
"Spiffin","Amber","This pill will make you the ultimate storyteller, spinning hilarious, awe-inspiring tales that captivate everyone around you.","Amber","Claiming NASA have a secret control centre underneath the city of Hanover.","Amber"
"Seach","Lilac","This pill gives the user the power to unbalance judges with their metal detecting finds.","Lilac","Intense fear of nasal hairs.","Lilac"
"Couteaux17","Magenta","This pill will implant in the user memories of savoring tender moments with Sojourner Truth in a realm of chromatic splendor.","Magenta","Painful contraction and expansion of the moustache.","Magenta"
"Dostench","Amber","This pill will transform your shadow into a stand-up comedian, cracking jokes and making everyone around you laugh until they cry.","Amber","Overuse of the word 'volcano'.","Amber"
"Couragilous","Forest Green","This pill gives the user the ability to dissolve whiteboards with their singing.","Forest Green","Side effects may include distrust and damage to professional reputation if taken during a business meeting.","Forest Green"
"Gaucher","Forest Green","This pill is high potency drug used to treat energy vampires.","Forest Green","May cause temporary disorientation and confusion.","Forest Green"
"Graxfor","Cyan","This pill allows the user to telepathically communicate with others over long distances.","Cyan","Socially detrimental obsession with dried cowpats.","Cyan"
"Bisketcase","Violet","This pill will allow the user to inspire a whole art movement by leaving stick men drawings on toilet paper in public places with wordplay-laden captions.","Violet","Involuntary whistling of cartoon theme songs during dental appointments.","Violet"
"Miccopriuos","Forest Green","This pill will cause users to sing ""Let It Go"" from Frozen when they hear the word ""snow"".","Forest Green","Abruptly morphing into a black dragon lizard.","Forest Green"
"Nunch","Forest Green","This pill will make the user burst into tears upon seeing broccoli.","Forest Green","Insatiable interest in old editions of The Times Literary Supplement for several days following use.","Forest Green"
"Impradix","Pastel Yellow","This pill will make the user act in a no-nonsense fashion for 6 weeks before having concentrated burst of full nonsense for 30 minutes..","Pastel Yellow","Intense fear of people pleasers.","Pastel Yellow"
"Reanimders","Forest Green","This pill will make the user have a terrifying but exhilarating hallucinatory experience when visiting the last resting place of Nelson Mandela.","Forest Green","Inability to stop quoting Theresa May.","Forest Green"
"Noomach","Wine Red","This pill will make the user an expert in civil seismochemistry.","Wine Red","Fear of imperfection.","Wine Red"
"Flextun","Brown Ochre","This pill allows the user to attract sunlight when they're indoors.","Brown Ochre","Increased risk of sunburn.","Brown Ochre"
"YeYbin","Violet","This pill will make the user able to nurture a one-sided friendship to the point where both parties are happy.","Violet","A tendency to find oneself in Dublin.","Violet"
"Pibboon","Magenta","This pill will make the user sing the theme tune from Six Feet Under whenever they see a goat.","Magenta","A newfound love for gurning contests.","Magenta"
"Vrunst","Cyan","This pill will make the user fearless in learning new languages.","Cyan","Inability to resist greeting people with a random phrase in Klingon.","Cyan"
"Snappetol","Lemon Yellow","This pill gives the user the determination to complete a difficult task while wearing oven mitts.","Lemon Yellow","Can lead to the consumption of stale food cupboard items and in rare cases, paper towels.","Lemon Yellow"
"Lazilive","Amber","This pill will make the user be able to produce and emit poison from the body.","Amber","An intermittent affection for quaint market towns reported by a small minority of users.","Amber"
"Gerbera","Lilac","This pill gives the user the power to stall psychologists with their face painting.","Lilac","Accidentally travelling to Gdańsk.","Lilac"
"Bribbble","Forest Green","This pill will make the user have a terrifying but exhilarating hallucinatory experience when visiting the birthplace of Malala Yousafzai.","Forest Green","Occasionally ending up in Varna.","Forest Green"
"Flubnar","Bright Blue","This pill will give the user the strength of a gerbil.","Bright Blue","Momentary transmogrification into a guppy.","Bright Blue"
"Profierce","Magenta","This pill will make the user have the experience of revelling in the most colourful victories with Joan of Arc.","Magenta","Pathological fear of Disney products.","Magenta"
"Winooze","Amber","This pill will make every step you take sound like a different musical instrument, transforming your walk into a one-person band performance.","Amber","Incorrect use of the word 'casserole'.","Amber"
"Oratophenanol","Cyan","This pill will make the user excel at public speaking.","Cyan","You cannot help but say the most boring things.","Cyan"
"Tranzix","Bright Blue","This pill will give the user the strength of a bullocks.","Bright Blue","Fear of untidy kitchens.","Bright Blue"
"Cheerfil","Forest Green","This pill will prompt users to sing ""The Circle of Life"" from The Lion King when they hear the word ""circle"".","Forest Green","Intermittent morphing into a black and white warbler.","Forest Green"
"Meditrinanol","Forest Green","This pill gives the user the ability to inflate photocopiers with their toes.","Forest Green","May cause the user to fail to spot the warning signs of AI taking over the world.","Forest Green"
"Sillock","Lilac","This pill gives the user the power to muddle robbers with their urban exploration.","Lilac","Incorrect use of the word 'terrine'.","Lilac"
"Nibboon","Lilac","This pill gives the user the ability to disconcert letting agents with their karaoke skills.","Lilac","Inability to carry on conversing with anyone who uses the phrase ""bleeding edge"".","Lilac"
"Toddlerolamine","Amber","This pill will give the user the ability to metamorphose and transform into a better version of themselves.","Amber","May cause occasional side effect of throwing food when you're done with your meal.","Amber"
"Grindyhes","Magenta","This pill radiates love and joy upon seeing two old people sat on a bench.","Magenta","Public indecency upon hearing the word ""forbidden"".","Magenta"
"Yurble","Neon Green","Takes you back to any moment in your past with a laughter track playing in the background.","Neon Green","Inability to stop laughing at your own past misfortunes.","Neon Green"
"Scrllivan","Lilac","This pill will give the user the ability to fall into a state of wonderment when nice things happen to them or their friends.","Lilac","Gargantuan pulsating nodules on the scalp.","Lilac"
"Stump","Amber","This pill will make the user be able to swivel their head 360 degrees after sundown.","Amber","Attempting to end an argument by saying: ""In Kentucky every citizen of is required to take a shower once a year."".","Amber"
"Harbour","Pastel Yellow","This pill grants the user the ability to control and manipulate the band Pigs Pigs Pigs Pigs Pigs Pigs Pigs.","Pastel Yellow","Uncontrollable compulsion to slap the nearest person's face upon hearing the word ""drama"".","Pastel Yellow"
"Snewkes","Magenta","This pill will make the user able to spend time with friends while smothered in gravy without causing alarm.","Magenta","Excessive use of French when with an newspaper editor.","Magenta"
"Crookedphillips","Magenta","This pill will make the user sing the theme tune from Angel when they come across a seagull.","Magenta","Intense fear of gym equipment.","Magenta"
"Gopdema","Gray","This pill will give the user the ability to manipulate political leaders into transferring all their power and influence to them.","Gray","Inability to trust anyone, leading to a life of paranoia.","Gray"
"Wortunde","Pastel Yellow","This pill will make the user's hiccups sound like a foghorn.","Pastel Yellow","Constant need to slap one's thighs following habitual use.","Pastel Yellow"
"Elixor","Lemon Yellow","This pill allows the user to transcend their physical form and enter a higher state of consciousness.","Lemon Yellow","Intense fear of stand up comedy.","Lemon Yellow"
"Aviatrix18","Magenta","This pill will make the user intensely happy upon seeing a drawer.","Magenta","Audible grating of teeth upon hearing the phrase ""win-win"".","Magenta"
"Titanspencer","Violet","This pill will give the user the strength to forgive any careless driver who has cut them up or tailgated them on the motorway.","Violet","The sudden desire to learn an obscure and dying language and teach it to others.","Violet"
"Amwarkinheer","Cyan","This pill will make the user have an impeccable New York accent.","Cyan","Users may become morbidly cantankerous with prolonged heavy usage.","Cyan"
"Buoyagecin","Magenta","This pill creates a symphony of colours around the user.","Magenta","A strong urge to take up mini-golf billiards.","Magenta"
"Naturia","Lilac","This pill gives the user the ability to disconcert minstrels with their calligraphy.","Lilac","Muscle twitching when exposed to bald eagle eggs.","Lilac"
"Tandem","Amber","This pill will give the user the ability to restyle their appearance or wardrobe to boost their confidence.","Amber","Occasionally causes the user to emit a bright glow if taken during a full moon.","Amber"
"Fridgitex","Magenta","This pill takes users on a legendary journey.","Magenta","Regularly likening one's romantic partner to a glass of milk.","Magenta"
"Johnoba","Magenta","This pill will implant in the user memories of seeing the world through a prism of compassion with Florence Nightingale.","Magenta","Claiming to be an expert in economics.","Magenta"
"Cagey","Magenta","This pill will make the user appear sensual whenever they're at the hospital picking up test results.","Magenta","Accidentally becoming an often cited expert in pharmacy.","Magenta"
"Rable","Amber","This pill will give the user the speed and agility of an eagle.","Amber","Uncontrollable weeping upon seeing a cake in the shape of a guitar.","Amber"
"Lucidol","Amber","To treat the inability to decide what to wear to a work event.","Amber","Not to be taken by those who partake in cosplay.","Amber"
"Invisiaph","Pastel Yellow","This pill will make the user act in a hollow fashion when being interviewed/questioned.","Pastel Yellow","Buying a holiday home in Stockholm.","Pastel Yellow"
"Medlar","Amber","This pill will enable the user to burrow into sand at incredible speeds.","Amber","Moving to Cluj-Napoca.","Amber"
"Musax","Amber","This pill will make the user be able to run backwards at speed of an Olympic sprinter.","Amber","Regular uncontrollable urges to write the word 'ethereal'.","Amber"
"Glottle","Lilac","This pill gives the user the power to torment mothers with their wine pairing.","Lilac","Falling backwards while facepalming upon hearing the phrase ""with all due respect"".","Lilac"
"Warpynom","Pastel Yellow","This pill will make the user act in an emotionally detached fashion when dealing with an emergency.","Pastel Yellow","Fascinating hallucinatory experiences with a killifish.","Pastel Yellow"
"Snumlitex","Bright Blue","This pill will give the user the strength of a dunnock.","Bright Blue","Gradual morphing into a miniature pinscher.","Bright Blue"
"Vibranium","Magenta","This pill will implant in the user memories of enjoying a kaleidoscopic circus performance in Ulaanbaatar with their favorite authors.","Magenta","Esoteric absorption in astrology.","Magenta"
"Klippil","Amber","This pill will give the user the physical prowess of a sparrow.","Amber","Slowly morphing into a baleen whale.","Amber"
"Flumptonite","Magenta","This pill will implant in the user memories of floating through a radiant ether of gratitude with George Washington Carver.","Magenta","Claiming to be an expert in drill music.","Magenta"
"Telescopax","Amber","This pill will make the user be able to shoot golden balls out of their body.","Amber","Invading Poznań.","Amber"
"Pierxenia","Brown Ochre","This pill allows the user to turn rain into snow and vice versa.","Brown Ochre","Frequent weather-related wardrobe malfunctions.","Brown Ochre"
"Blushtonite","Lilac","This pill gives the user the power to torment fast food workers with their ice sculpting.","Lilac","Quirky hallucinatory experiences with a chipmunk.","Lilac"
"Stellarite","Lemon Yellow","The power to summon a group of bumbling sidekicks to help you with anything.","Lemon Yellow","Gradual morphing into a Tapanuli orangutan.","Lemon Yellow"
"Sedateable","Amber","This pill will give the user the power to diverge from the expected path or course of action.","Amber","Inability to stop quoting Beyoncé.","Amber"
"Tangy","Violet","This pill will give users the ability to double the bank balance of underpaid promotional mascots with a click of the fingers.","Violet","Potentially unhealthy obsession with shampoo bottles.","Violet"
"Aerier","Lemon Yellow","This pill will make the user be able to say no to anything they don't want to do.","Lemon Yellow","General fatigue and chronic dry skin on the back of the knees.","Lemon Yellow"
"Jodylos","Wine Red","This pill will make the user an expert in psychomorphology.","Wine Red","Constant attempts at finding the shapes of obscene objects in the clouds.","Wine Red"
"Mamey","Magenta","This pill creates uncontrollable joy when geocaching.","Magenta","Euphoric frenzy upon hearing the phrase ""life-changing opportunity"".","Magenta"
"Bramstoak","Forest Green","This pill will make the user have no reflection.","Forest Green","Aversion to garlic bread and increased risk of stake through heart.","Forest Green"
