ID	NAME	Primary Compound	Secondary Compound	Effect	Side-Effect	Expression	Expression	Total Count	Group Size (Rarity)	Group Name	Color (Hex)	Color (RGB)
2689	Cruit	#ffde00	#ffde00	This pill will make the user have an intense hallucinatory experience when visiting the last resting place of Neil Armstrong.	Regularly mistaking one's romantic partner for a overripe banana.	#38761d						
2690	Psychosix	#ff00ff	#0bc4ff	This pill will make the user feel compassion at christmas.	Inability to carry on conversing with anyone who uses the phrase "paradigm-shift".	#9900ff						
2691	Cremensasses	#54e507	#ffde00	This pill will make the user feel aggravated at friends’ houses.	Fear of pointing.	#38761d						
2692	Meprian	#ff00ff	#ffde00	This pill allows the user to provide reassurance to people who stumble on their words during a speech.	Phobia of axe-wielding maniacs.	#9900ff						
2693	HelyO	#ff00ff	#ffedd7	This pill will make the user an expert in material metaengineering.	Inability to feel pain.	#741b47						
2694	Nouveaux18	#ffde00	#ffde00	This pill will make the user amazing at pool.	Frequent referrals to Bill Clinton.	#ff9900						
2695	Huggier	#ffde00	#ffde00	This pill will give the user the ability to exaggerate their facial features to comical proportions.	Hallucinatory experiences with a spectacled bear.	#ff9900						
2696	Obediah	#ff00ff	#ffde00	This pill lets the user embody the zookeeper who nearly incited a riot by releasing a confused kangaroo during the signing of the Declaration of Independence.	Inability to not draw similarities between oneself and Michael Bay.	#38761d						
2697	Boxier	#ff00ff	#ffedd7	This pill allows the user to feel and share the emotions of others.	Cocky body language.	#cb97ff						
2698	Gary	#ff00ff	#0bc4ff	This pill will give the user the power to anonymously slander wealth managers.	Inability to juggle following habitual use.	#ffd966						
2699	Velcroine	#ffedd7	#ff00ff	This pill will make the user have the experience of encouraging Neil Armstrong before his Moon landing.	Pathological fear of Heineken products.	#ff00ff						
2700	Gerome	#ffde00	#903ef9	This pill allows the user to enter a dreamlike state and control their dreams.	Dreams exclusively feature your least favorite vegetable.	#ff9900						
2701	Enchantment	#54e507	#903ef9	This pill gives the user the power to engross dolphins with their whale watching.	A compulsion to play the audiobook of The Communist Manifesto by Karl Marx on headphones full blast while running backwards around the park.	#cb97ff						
2702	Chorsel	#903ef9	#ff00ff	This pill gives the user the ability to bowl over experts with their animal rescue.	A compulsion to play the audiobook of John Adams by David McCullough at full volume in the car with the windows down while sitting on the driveway.	#cb97ff						
2703	Nickles	#54e507	#ffedd7	This pill will make the user behaved in a detached way when eating muesli.	Overuse of the word 'visceral'.	#ffd966						
2704	Jabit	#ff00ff	#ffde00	This pill will make the user an expert in molecular polydynamics.	Hearing voices coming from a bag of onions.	#741b47						
2705	Cringliz	#ffde00	#54e507	This pill enhances the user's hearing ability by 700%.	Unable to tolerate even the slightest whisper.	#000000						
2706	Spog	#ff00ff	#ff00ff	This pill will give the user the ability to turn into a thunder fly for the duration of its short life.	Brief transmogrification into a koolie.	#ff9900						
2707	Evenner	#54e507	#ff00ff	This pill will make the user be able to persuade their shadow to go to the shops for them	A sense of profound revulsion towards grocery stores reported by most users.	#ffd966						
2708	Sulfurry	#ffde00	#ffde00	This pill will make the user feel optimistic at friends’ houses.	Adverse physiological reaction to athletes affecting a large proportion of users.	#9900ff						
2709	Millerstomper	#54e507	#ffedd7	This pill makes users passionately argue for and against the same subject	Struggling to remember their original opinion.	#38761d						
2710	Biming	#ff00ff	#ff00ff	This pill will make the user completely subdued for 10 hours.	Constantly trying to convice people to take part in the Wife Carrying Festival.	#ffd966						
2711	Klurzip	#ffedd7	#0bc4ff	This pill grants the user the ability to shoot compost from their eyes.	Risk of temporary blindness and itchy eyes.	#7f6000						
2712	Uremia	#ffde00	#ff00ff	This pill will make the user be able to detect and rescue all stray dogs.	Sharp pain in the groin upon seeing a house cat.	#9900ff						
2713	Flopson	#ffde00	#54e507	This pill will make the user's touch cause robots to overheat and explode.	A tendency towards incisive commentary at gatherings.	#38761d						
2714	Corporea	#ffde00	#ffedd7	Gives the user an exaggerated sense of self-importance, making them the protagonist of any scenario	may cause a compulsion to narrate one's life out loud.	#ff9900						
2715	Klafsta	#ffde00	#ff00ff	This pill will give the user the ability to pinpoint the most lucrative crypto trades like a savant and cash out at exactly the right time.	Extreme aversion to any other form of investment.	#b4a7d6						
2716	Snugitinax	#0bc4ff	#ff00ff	This pill will make the user have a pleasant hallucinatory experience when visiting the birthplace of Elizabeth Taylor.	Sweating in reaction to tomato salad.	#ff00ff						
2717	Smue	#fc8300	#903ef9	This pill will give the user the strength to forgive any biographer who has besmirched their good name.	The inexplicable impulse to design fashionable outfits for everyday objects.	#9900ff						
2718	Swacket	#ffde00	#ffde00	The pill transforms the user's world into a kaleidoscope of colours	A strong urge to take up naked rugby.	#ff00ff						
2719	Tuscle	#903ef9	#ffde00	This pill will make the user be able to get a strike every time whilst bowling.	Chronic use may lead to decreased popularity and many lonely nights bowling alone. Use sparingly.	#ff00ff						
2720	Maunders	#903ef9	#ffedd7	This pill will give the user the physical prowess of a raven.	Compulsive shouting in reaction to lemon meringue.	#ff9900						
2721	Teents	#ffedd7	#ffde00	This pill will give the user to the power to make people cry diamonds, which they will then hand over.	Constant need to check contents of fridge following heavy use.	#ffd966						
2722	Crydolize	#903ef9	#fc8300	This pill will make the user shout lines from American Idol whenever they see an image of a crow.	Belting out tunes in the style of American Idol judges when spotting a crow.	#38761d						
2723	Thickzated	#ffedd7	#54e507	This pill will give the user the stench of a oxbird.	Inability to stop quoting Martin Luther King Jr.	#38761d						
2724	Wurbex	#ff00ff	#fc8300	This pill will make the user be able to sing like Mariah Carey.	Intense fear of inches as a unit of measurement.	#0000ff						
2725	Blush	#ff00ff	#54e507	This pill will make the user have the experience of basking in the peaceful glow of the Reformation with Martin Luther.	Pathological hatred of pudding.	#ff00ff						
2726	Raccampex	#fc8300	#ff00ff	This pill will make the user act in an idle fashion when at the supermarket.	Unintentional clucking.	#ffd966						
2727	Crystalline	#54e507	#54e507	This pill will enable the user to break the world record for the longest time spent in a bath of baked beans.	Morbidly distracting fascination with stems for several days following use.	#ffff00						
2728	Lorses	#ff00ff	#903ef9	This pill makes users feel like they're incredibly strong.	You aren't actually strong, and usage of the pill can lead to both severe muscle strain and chronic embarrassment.	#cb97ff						
2729	Rur	#ffde00	#54e507	This pill will give the user the sensory abilities of a hawk.	Unconventional obsession with unsolved enigmas.	#ff9900						
2730	Rheumier	#ffde00	#ffedd7	This pill will make the user feel radiant in the bedroom.	Compulsion to start a fight group upon reading the word "breathe".	#9900ff						
2731	Telepathineph	#903ef9	#ffde00	This pill gives the user the ability to dissolve tables with their elbows.	The user may still be shocked by the cat lovers' indifference	#38761d						
2732	Sooly	#54e507	#903ef9	This pill will make the user feel appreciative at the start of every weekend.	Tiresome references made to Arthur C. Clarke.	#ff9900						
2733	Hayeserion	#903ef9	#ffde00	This pill will give the user the power to bewilder players on the opposite team when playing 5-a-side football.	Pulsating chin.	#cb97ff						
2734	Mibskel	#54e507	#ff00ff	This pill will give the user the strength of a tortoise.	Inability to not draw similarities between oneself and Guillermo del Toro.	#0000ff						
2735	Oratoria	#ff0000	#g0Ld1e	This pill will turn the user into a world class public speaker.	Incredibly high-pitched voice and chronic back sweat.	#00ffff						
2736	Ampleared	#903ef9	#ffde00	This pill will give the user the speed and agility of a hoopoe.	Uncontrollable urges to walk backwards following a large meal.	#ff9900						
2737	Pyroclast	#903ef9	#54e507	This pill will give the user the ability to show sympathy towards people who regret their tattoo choices.	Compulsive scoffing upon hearing the phrase "middle management".	#9900ff						
2738	Immortyl	#ff00ff	#ffde00	This pill will make the user feel excited every time they see rain forecast.	Knack for inventing imaginary friends.	#ff00ff						
2739	Vadneso	#903ef9	#ff00ff	This pill will make the user an expert in mineraloeconomics.	Intense fear of porches.	#741b47						
2740	Bureausch	#54e507	#ff00ff	This pill will implant in the user memories of triumphantly marching with Alexander the Great after his momentous victories.	Claiming to be an expert in public relations and administration.	#ff00ff						
2741	Whotter	#ffde00	#ffde00	This pill will give the user the ability to make others act in a boring fashion around people they’re trying to impress.	Occasionally ending up in Frankfurt am Main.	#ffd966						
2742	Achopi	#54e507	#ffde00	This pill will make the user an expert in epidemoinformatics.	Inability to stop quoting Hayao Miyazaki.	#741b47						
2743	Klicktoniz	#ffedd7	#ff00ff	This pill will make the user realise they can go to a flea market wearing nothing on their lower half without becoming a social outcast.	Overuse of the word 'gustatory'.	#cb97ff						
2744	Lightwood	#903ef9	#ffde00	This pill causes the user to engage in dramatic internal disputes	Unintentionally performing theatrical monologues in public.	#38761d						
2745	Chronine	#ff00ff	#ffedd7	This pill will grant the user a flair for assembling outfits from toilet paper.	Socially detrimental obsession with psychic abilities.	#ff00ff						
2746	Packsm	#ff00ff	#ffde00	This pill will make the user an expert in parapsychostatics.	Constructing a 1:100 scale model of Rotterdam.	#741b47						
2747	Shwarderfeev	#903ef9	#54e507	This pill will make the user feel like they're having the greatest day ever.	All small dogs will seem terrifying.	#ff00ff						
2748	Variaph	#ffde00	#ffedd7	This pill will make the user feel capable between 10am - 11:30am each day.	Swiftly morphing into a central ranges taipan.	#9900ff						
2749	Zoozenca	#ffde00	#ffde00	This pill will make the user act in an immovable fashion when on public transport.	Incorrect use of the word 'yielding'.	#ffd966						
2750	Spust	#ff00ff	#903ef9	This pill lets the user's comforting advice bring about the humor and charm of a classic comedy routine, full of laughter and heart.	Nervous cough in reaction to stand-up comedians.	#9900ff						
2751	Compassax	#ff00ff	#903ef9	This pill will make the user act like Meatloaf when in restaurants.	Unpredictable behaviour after hearing the word "reservoir".	#ffd966						
2752	Syllablaze	#ffde00	#903ef9	This pill turns the user's comforting pats on the back into an experience of dancing through a field of cotton candy.	Inability to stop quoting Malcolm X.	#9900ff						
2753	Frinty	#ffde00	#ff00ff	This pill will give the user the ability to quote every single line from Withnail and I.	Unprompted and frequent attempts to engage in philosophical debates with household appliances.	#00ff00						
2754	Snoflar	#54e507	#ffedd7	This pill will make the user daring when it comes to Sunday afternoon activities.	May lead to excessive DIY projects.	#0000ff						
2755	Guffolitrex	#903ef9	#54e507	This pill will make the user feel like they're continuously about to fart.	Sudden urge to skydive.	#38761d						
2756	Spritz	#54e507	#ffde00	This pill will make the user amazing at taekwondo.	Fear of gettng things right.	#ff9900						
2757	Miradream	#54e507	#ffde00	This pill gives the user the ability to tickle soldiers with their karaoke skills.	Likening one's career to a pigeon.	#cb97ff						
2758	Meam	#ffde00	#54e507	This pill will give the user an overwhelming but thoroughly enjoyable time with friends when they all dress up as Pokémon characters and drink wine.	Giving off a stench of rotten blackfish.	#cb97ff						
2759	Bippling	#ffde00	#0bc4ff	This pill will perplex the user into not being able to work out how to get back downstairs in their house.	Frequent requests for help navigating staircases.	#cb97ff						
2760	Grosty	#ffedd7	#ffde00	This pill allows the user to see the world through opalescent lenses	Uncontrollable compulsion to slap the nearest person's face upon hearing the word "drama".	#ff00ff						
2761	Bredmayka	#903ef9	#54e507	This pill allows the user to mine Bitcoin with their toaster, accumulating more everytime it pops.	Compulsion to regularly check none of their toes are missing by individually counting them.	#fff2cc						
2762	Stevadav	#ffedd7	#54e507	This pill will give the user the power to roast a chicken perfectly in under 5 minutes by singing to the oven.	Crying with furious anger upon seeing a overripe banana.	#000000						
2763	Cardboard	#54e507	#ff00ff	This pill will give the user the speed and agility of a dove.	Insatiable interest in wildlife photographers for several days following use.	#ff9900						
2764	Whirleze	#903ef9	#fc8300	This pill will make the user believe that every container they come across contains valuable treasures	Compulsion to open and search through random boxes and bags.	#38761d						
2765	Hierurgicon	#fc8300	#ff00ff	This pill will give the user the ability to vary their exercise routine to prevent boredom and improve results.	Occasionally causes a desire to swarm with other insects if taken on a warm night	#ff9900						
2766	Gneeth	#54e507	#54e507	This pill will make the user able to metamorphose into a mythical creature like a dragon.	Tiresome toasts made to Martin Scorsese.	#ff9900						
2767	Glumploon	#ffedd7	#ffde00	This pill gives the user the power to impress dermatologists with their spoon bending.	Irrational fear of rare species of toad.	#cb97ff						
2768	Boythorn	#ffde00	#ffde00	This pill will make the user feel like they are floating on air, but they will also be prone to spontaneous levitation.	Inability to digest fish tacos .	#9900ff						
2769	Tutton	#54e507	#903ef9	This pill gives the user the power to summon a flock of friendly birds to sing them a happy tune in a slightly angry way.	Socially detrimental obsession with finding kindling, even when not camping.	#ff00ff						
2770	Ethereaminol	#ffedd7	#ffde00	This pill will make the user feel like they are cynical when they're with loved ones.	A feeling of extreme discomfort towards clocks affecting a large proportion of users.	#ff9900						
2771	Buttery	#ff00ff	#54e507	This pill gives the user the ability to pulverise toys and games with their elbows.	Only if taken while wearing a striped shirt.	#38761d						
2772	Exaltine	#903ef9	#903ef9	This pill will give the user the ability to be reserved when it doesn't come naturally to them.	Declaring oneself the King of Barcelona.	#9900ff						
2773	Ezzloria	#54e507	#ff00ff	This pill will make the user an expert at telling jokes	Compulsion to create puns at inopportune moments.	#00ff00						
2774	Augury	#ff00ff	#ff00ff	This pill gives the user the ability to blow away farmers with their cat herding.	Intense fear of embargoes.	#cb97ff						
2775	Aubrey	#ff00ff	#ffde00	This pill lets the user relive the moment when a rookie gardener unknowingly bred a new species of flower by over-watering their plants.	Fear of private hospitals.	#38761d						
2776	Frunchy	#ff00ff	#ff00ff	This pill will give the user stamina as long as they keep their tongue hanging out the side of their mouth.	Fear of the white pepper.	#ffff00						
2777	Levitationax	#ff00ff	#903ef9	This pill will make the user take umbrage with everything anyone says whilst having utmost confidence in what they themselves are saying.	Pain in hips.	#38761d						
2778	Malllo	#ff00ff	#ff00ff	This pill will give the user the ability to moderate the weather according to their mood.	Fear of board games.	#ff9900						
2779	Orlick	#0bc4ff	#fc8300	This pill will enable a spiritual awakening that changes everything for the user.	Hands shaking uncontrollably after hearing the word "broken".	#cb97ff						
2780	Bozzel	#ffde00	#fc8300	This pill will make the user find the most boring person in the room to be the funniest person they’ve ever met.	Periodic episodes of dressing up as a penguin and marching to an imagined rhythm only the user can hear.	#00ff00						
2781	Knony	#903ef9	#903ef9	This pill will make the user feel anguish in the company of strangers.	Cravings for ketchup and ice cream.	#38761d						
2782	Terrasiphenalol	#903ef9	#ff00ff	This pill will make the user laugh uncontrollably at traffic jams.	Sudden craving for unicycle lessons.	#9900ff						
2783	Az	#ffde00	#903ef9	This pill gives the user the willpower to avoid procrastination for an entire day.	Unconventional captivation with cyberspace anomalies.	#ffff00						
2784	Etheriaph	#ff00ff	#ff00ff	This pill will make the user see a bright, colourful aura around their boss whenever they hear the word "trust".	Morphing into a pineapple with a jetpack.	#ff00ff						
2785	Langsat	#54e507	#ff00ff	This pill will make users perform "I Will Always Love You" by Whitney Houston when they hear the word "goodbye".	Inability to urinate following habitual use.	#38761d						
2786	Mohannelex	#54e507	#903ef9	This pill gives the user the ability to discombobulate pyromaniacs with their wise words.	Intense fear of DJ mixes.	#cb97ff						
2787	Cressalax	#ff00ff	#903ef9	This pill will make the user able to induce instant defecation in others by feeding them small amounts of watercress that grows out of the user’s palms.	Sore, red, and itchy hands after prolonged use.	#ff9900						
2788	Junning	#54e507	#ff00ff	This pill will make the user see a bright, colourful aura around their GP whenever they hear the word "glove".	Inability to suppress laughter during medical appointments.	#9900ff						
2789	Nootzad	#54e507	#54e507	This pill will grant the user the ability to teleport to any location, but they will always arrive in their underwear	Persistent desire to wear only underwear.	#000000						
2790	Innpuuut	#903ef9	#0bc4ff	This pill will give the user the ability to absorb any text-based information in nanoseconds by flicking through books.	Compulsion to quote Johnny 5 lines	#00ffff						
2791	Zaffin	#ffde00	#54e507	This pill gives the user the ability to explode shelves with their mind.	Side effects may include physical altercations and strained relationships if taken during a family event.	#38761d						
2792	Lamiconds	#ffde00	#54e507	This pill gives the user the power to trouble senators with their street racing.	Curious fixation on crickets.	#cb97ff						
2793	Klippo	#ffde00	#ff00ff	This pill will give the user the ability to adjust the volume of their own thoughts.	Cravings for cheesecake in the shower.	#ff9900						
2794	Borgia	#903ef9	#54e507	This pill will give the user the power to outrun all divorce lawyers.	Pathological fear of Toyota products.	#cb97ff						
2795	Frold	#ff00ff	#ffde00	This pill will make the user have the experience of delighting in the stormiest moments of history with Christopher Columbus.	Pathological hatred of chocolate bunnies.	#ff00ff						
2796	Spoog	#54e507	#ff00ff	This pill enables the user to provide comfort to people who can't find their glasses while wearing them.	Intense fear of fresh strawberries.	#9900ff						
2797	Tinkle	#fc8300	#ff00ff	This pill will make the user's skin prickle upon identifying a great business opportunity.	Immediate loss of bowel control on hearing the word 'braise'.	#ff00ff						
2798	Berger	#903ef9	#ffedd7	This pill enhances the user's charm and charisma.	Phobia of condos.	#ff00ff						
2799	Animucillin	#54e507	#ff00ff	This pill allows the user to communicate with animals and understand their emotions.	May cause the user to develop a lisp as well as physical traits of the animals they communicate with.	#00ffff						
2800	Smops	#903ef9	#903ef9	This pill will give the user the ability to stagger people with their ability to down half a pint in one go.	Frequent bathroom breaks.	#cb97ff						
2801	Bargeon	#54e507	#ffde00	This pill will make the user act in an earnest way when with work colleagues.	Attempting to end an argument by saying: "You may not educate dogs."	#ffd966						
2802	Elocratonics	#54e507	#ff00ff	This pill will make the user act in an emotionless fashion when praising people.	A strong urge to take up pillow fighting.	#ffd966						
2803	Legumiraculus	#fc8300	#903ef9	This pill will astonish the user into finding all types of legumes miraculous.	Inability to resist hoarding cans of beans.	#cb97ff						
2804	Punxat	#ffde00	#54e507	This pill grants the user enhanced luck and good fortune.	Luck fluctuates between extremely good and extremely bad.	#000000						
2805	Spagbolax	#ffde00	#54e507	This pill will make the user feel annoyed upon having their favourite meal suggested for dinner.	Chronic decline in opportunities to eat favourite meal.	#38761d						
2806	Chirptonite	#ffde00	#903ef9	This pill will give the user the ability to blow people's minds with their exaggerated tales of adventure.	Weird fascination with fallen branches.	#cb97ff						
2807	Tizzyson	#54e507	#ff0000	This pill will make the user burst into tears upon seeing a thimble.	Giving off a faint odour of a dotterel.	#38761d						
2808	Tranquilinaphene	#54e507	#903ef9	This pill will give the user the ability to control time, but they can only move forward in increments of 5 seconds.	May cause occasional side effect of screaming when someone takes your turn on the swing	#ff9900						
2809	Gaucheron	#ffde00	#ff00ff	This pill lets the user embody the tavern owner who nearly caused a riot by serving flat beer during the American Revolution.	Attempting to end an argument by saying: "Donkeys may not be kept in bathtubs."	#38761d						
2810	Introvertilive	#54e507	#ff00ff	This pill gives the user the power to astound bakers with their video gaming skills.	Periodic shouting of the word 'resplendence'.	#cb97ff						
2811	Stakzor	#ffde00	#ffde00	Boosts portmanteau creation skills	Can cause you to make up nonsensical words in everyday conversation.	#00ff00						
2812	Flurgers	#54e507	#ffde00	This pill will give the user the strength to be unpredictable but in a (mostly) positive way.	Inability to stop quoting Winston Churchill.	#cb97ff						
2813	Celestirine	#ffde00	#ff00ff	This pill will let users temporarily swap lives with their favorite fictional characters, living out fantastical adventures in their shoes	Loss of bowel control upon seeing a kale smoothie.	#ff00ff						
2814	Caelumax	#ffedd7	#ffde00	This pill will make the user act in a matter-of-fact fashion when discussing current affairs with taxi drivers.	Overuse of the word 'jellied'.	#ffd966						
2815	Pimney	#ffedd7	#54e507	This pill will make the user feel adventurous after work.	Overuse of the word 'resplendent'.	#ff9900						
2816	Oppilume	#903ef9	#54e507	This pill will make the user incredibly creative under pressure	Uncontrollable urge to design fashionable hats for household pets.	#ff00ff						
2817	Interprital	#ffde00	#0bc4ff	This pill will give the user the ability to translate illegible graffiti in any language.	Intermittent transformation into a prairie chicken.	#00ffff						
2818	Jangle	#ff0000	#ff00ff	This pill will make the user’s voice sound like that of their fathers.	What’s colloquially known as ‘back to the future syndrome’, whereby users report unwanted advances from their mother.	#ff9900						
2819	Apotheca	#903ef9	#903ef9	This pill makes the user the life and soul of holiday gatherings	Inability to tone down holiday-themed outfits.	#ff00ff						
2820	Helixia	#ff00ff	#fc8300	To treat the inability to decide what to wear to a special occasion	Has been known to occasionaly cause the user to wear all-in-one pant-boots	#ff9900						
2821	Mortengass	#ff0000	#903ef9	This pill will give the user the ability to anonymously ruin the reputation of SEO specialists.	Incorrect use of the word 'quenelle'.	#ffd966						
2822	Wupzix	#ff00ff	#ffde00	Enhances users' meme creation skills, ensuring viral success	may cause an excessive use of internet slang and a decrease in productivity.	#00ffff						
2823	Qwibber	#ff00ff	#fc8300	This pill makes you feel like you're starring in a slapstick comedy, complete with pratfalls and banana peels.	Frequent accidents involving pies to the face.	#00ff00						
2824	Skorvox	#ffedd7	#903ef9	This pill will make the user intrepid when on safari.	If another party initiates a fight user will typically run into nearest wall.	#0000ff						
2825	Baggycin	#54e507	#ff00ff	This pill will make the user able to play a sport while covered in syrup and feathers without becoming a social outcast.	Violent reaction to use of the phrase "killer app".	#ff00ff						
2826	Moched	#903ef9	#ff00ff	This pill will make the user act in a satirical fashion for 7 weeks.	Inability to stop quoting J.K. Rowling.	#ffd966						
2827	Qwiblix	#ff00ff	#ff00ff	Visit the past or future by enjoying tiramisu	Irresistible urge to critique the authenticity of every tiramisu encountered.	#000000						
2828	Conservilative	#ffde00	#ff00ff	This pill gives the user the power to disturb teenage boys with their extreme unicycling.	Sending seaside postcards to everyone in Münster.	#cb97ff						
2829	Ktwango	#ff00ff	#ff00ff	This pill will give the user the power to stretch time out when visiting theme parks to cram in more rides.	Phobia of imaginary adversaries.	#000000						
2830	Exhume	#ff00ff	#ffedd7	This pill will make the user lose their ability to walk whenever they encounter windsurfing.	Intense fear of treaties.	#cb97ff						
2831	Herbage	#903ef9	#ff00ff	This pill will make users deliver an impassioned speech at the wrong event	Invited to speak at other events due to their captivating presence.	#38761d						
2832	Intelligilent	#903ef9	#903ef9	This pill will give the user the physical prowess of a pochard.	Hallucinatory experiences with a bag of Tangfastics.	#ff9900						
2833	Crooded	#fc8300	#ff00ff	This pill will make the user feel grateful when on holiday.	Abnormal gait.	#9900ff						
2834	Wrymug	#ff00ff	#ffde00	This pill will make the user have the experience of writing the speech for Martin Luther King Jr.'s "I Have a Dream."	Stopping people in the street to tell them: "In Augusta to stroll down the street playing a violin is against the law."	#ff00ff						
2835	Mindmelt	#903ef9	#903ef9	The power to turn into a giant bubble	Embarrassing skin reaction to compliments.	#ff9900						
2836	Mentasia	#ffde00	#ff00ff	This pill takes users on an intergalactic escapade.	Constantly trying to convice people to climb into tar barrels.	#ff00ff						
2837	Lizil	#ffedd7	#54e507	This pill allows the user to create illusions and hallucinations.	Illusions only involve mimes and clowns.	#ff9900						
2838	Chazzler	#ffde00	#54e507	Ignites your comedic genius	Causes temporary loss of speech in those who hear your jokes.	#00ff00						
2839	Merox	#0bc4ff	#0bc4ff	This pill will give the user the ability to make boring movies seem a lot more exciting.	A burgeoning passion for jolleyball.	#000000						
2840	Trazlo	#54e507	#ff00ff	This pill will make the user be able to generate pheromones that affect the behavior of others.	Novel interest in Polkadot	#00ffff						
2841	Kennedytoads	#ffedd7	#903ef9	This pill will make the user be impressed and bewildered by the slightest show of skill.	An obession with unveilling things.	#cb97ff						
2842	Rehear	#ff00ff	#ffedd7	This pill gives the user the ability to electrify sheriffs with their extreme jump rope.	Inability to stop quoting Mahatma Gandhi.	#cb97ff						
2843	Broughamol	#54e507	#903ef9	This pill will give users the ability to make police officers smile when they're having a bad day.	Intense fear of canaries.	#9900ff						
2844	Grimier	#ff00ff	#ffde00	This pill will give the user the ability to reduce their anxiety and improve their mental wellbeing.	Occasionally causes the user to attempt to stick their fingers in electrical sockets or other dangerous objects, if taken during a game of hide-and-seek.	#ff9900						
2845	Mevish	#ff00ff	#ffde00	This pill gives the user the ability to turn water into a thick, sticky substance like molasses but without the flavour.	Sticky residue on clothes and skin.	#7f6000						
2846	Floo	#ffde00	#903ef9	This pill will make the user amazing at snowboarding.	Disgusting fingernails.	#ff9900						
2847	Sniblot	#ff00ff	#ff00ff	This pill will give the user the strength of a gnat.	Overuse of the word 'epicurean'.	#0000ff						
2848	Caelumiph	#ffedd7	#ffde00	This pill will make the user feel calm when meeting their hero.	Violent reaction to snything with sides reported by a small number of users.	#9900ff						
2849	Mindorine	#ff00ff	#903ef9	This pill will make the user laugh only when others do not.	Negative feelings towards bolshie veterinarians reported by most users.	#ffd966						
2850	Eugoodnight	#ff00ff	#ffde00	This pill makes holding hands with the user remind people of their favorite childhood games.	Sending seaside postcards to everyone in Turin.	#9900ff						
2851	Klimp	#54e507	#54e507	This pill allows those with usually low levels of empathy to express solidarity with lonely ice road truckers.	Insatiable interest in students for several days following use.	#9900ff						
2852	Mepa	#ffedd7	#ff00ff	This pill will give the user vivid memories of having had an amazing day at work when it was actuall really dull/bad.	Pathological dislike of springs affecting a large proportion of users.	#ff00ff						
2853	Momplicated	#ffedd7	#903ef9	This pill will enable a spiritual awakening for the user and anyone in their immediate vicinity.	Sporadically morphing into a cactus moth.	#cb97ff						
2854	Ciky	#ffde00	#ffde00	This pill gives the user the ability to muddy the thoughts of wrestlers with their pottery making.	Intense fear of cows.	#cb97ff						
2855	Dillysond	#903ef9	#ff00ff	This pill will allow users to make everyone they meet feel like they've just won the lottery.	Tendency to soundlike a dying cockerel during meetings.	#9900ff						
2856	Menteed	#903ef9	#903ef9	This pill will make the user act out scenes from Freaks and Geeks when they come across a snake.	Endless references to Sam Raimi.	#ff00ff						
2857	Heistminder	#54e507	#0bc4ff	This pill will make the user believe they are an expert bank robber	Planning imaginary heists may lead to accidentally planning a real one and getting caught.	#38761d						
2858	Fapster	#ff00ff	#54e507	This pill bestows the user with the power to reassure people who inadvertently dye their hair the wrong colour.	Potentially unhealthy obsession with grizzly bears.	#9900ff						
2859	Roguery	#903ef9	#ff00ff	The pill grants the user synesthetic abilities, hearing colours as music	Uncontrollable compulsion to slap the nearest person's face upon hearing the word "exist".	#ff00ff						
2860	Zynvik	#ffde00	#54e507	This pill enhances the user's ability to telepathically communicate with animals.	Being unable to concentrate on tasks when with an air traffic controller.	#00ffff						
2861	Phlipperil	#ffedd7	#ffde00	This pill will make the user be able to swim like a dolphin.	Odious seepage from small blowhole between shoulder blades.	#ff9900						
2862	Nins	#ff00ff	#ff00ff	This pill will give users the power to make everyone they meet feel like the guest of honor at a surprise party thrown just for them.	Inability to stop quoting Edgar Allan Poe.	#9900ff						
2863	Qurt	#ff00ff	#ffedd7	This pill will help users thrive in chaotic environments	Uncontrollable impulse to create disorder wherever they go.	#38761d						
2864	Dilliles	#ffedd7	#ffde00	This pill gives the user the power to puzzle capitalists with their origami.	Intense fear of quick fixes.	#cb97ff						
2865	Brelzin	#fc8300	#ffde00	This pill will make the user valorous during battles against fictitious enemies while gaming online.	Uncontrollable laughter upon hearing grave news.	#0000ff						
2866	Javoom	#903ef9	#54e507	This pill will make the user able to keep a completely straight face when told an undeniably funny joke.	Developing a temporary obsession with collecting and cataloging vintage toothbrushes.	#00ff00						
2867	Skifftonite	#ffedd7	#ff00ff	This pill will make the user feel worthy when receiving a massage.	A feeling of extreme wariness towards fashion photographers reported by a small number of users.	#9900ff						
2868	Dribbitinax	#903ef9	#ff00ff	This pill will give the user determination when faced with incredibly low odds of success at the snooker table.	Constant blinking when watching soap operas.	#ffff00						
2869	Chuttly	#ff00ff	#903ef9	This pill will make the user have a heart-warming hallucinatory experience when visiting the birthplace of Tutankhamen.	Sudden interest in ancient Egyptian history and culture.	#9900ff						
2870	Microphonine	#ff00ff	#54e507	This pill will make the user have the experience of helping Alexander the Great plan his conquests.	Nervous cough in reaction to dog collars.	#ff00ff						
2871	Herrerapus	#903ef9	#ff00ff	This pill will make the user feel incredibly happy when doing household chores.	Intense desire to turn every cleaning session into an impromptu musical performance.	#9900ff						
2872	Chronique	#ff00ff	#903ef9	This pill will make the user feel exultant on seeing a stopwatch.	Bias toward wearing clothes inside out.	#ff00ff						
2873	Selve	#903ef9	#903ef9	This pill makes the user engage in constant debates with their inner voice	Difficulty focusing on external conversations.	#38761d						
2874	Beauxon	#fc8300	#ff00ff	This pill will make the user feel bored in the company of friends.	Giving off a stench of rancid goose fat.	#38761d						
